Q1;8
Q2;14
Q3;0
Q4;1
Q5;12
Q8;6
Q13;1
Q15;4
Q16;16
Q17;71
Q18;0
Q19;5
Q20;8
Q21;3
Q22;1
Q23;13
Q24;1
Q25;3
Q26;2
Q27;9
Q28;3
Q29;5
Q30;47
Q31;5
Q32;9
Q33;7
Q34;32
Q35;20
Q36;11
Q37;5
Q38;18
Q39;7
Q40;7
Q41;12
Q42;10
Q43;7
Q44;4
Q45;8
Q46;4
Q48;23
Q49;1
Q51;2
Q52;2
Q53;1
Q54;1
Q55;6
Q56;1
Q57;1
Q58;0
Q59;4
Q60;7
Q61;1
Q62;3
Q64;6
Q65;0
Q66;1
Q67;0
Q68;6
Q69;1
Q70;0
Q71;0
Q72;0
Q73;4
Q74;0
Q75;9
Q76;20
Q77;8
Q78;0
Q79;12
Q80;4
Q81;6
Q82;1
Q83;12
Q84;4
Q85;2
Q86;2
Q87;1
Q88;2
Q89;53
Q90;15
Q91;20
Q94;8
Q95;7
Q96;7
Q97;4
Q98;2
Q99;2
Q100;1
Q101;1
Q102;2
Q103;1
Q105;3
Q107;2
Q108;1
Q109;2
Q110;2
Q111;6
Q112;0
Q113;0
Q114;14
Q115;9
Q116;1
Q117;4
Q118;2
Q119;2
Q120;3
Q121;2
Q122;1
Q123;1
Q124;1
Q125;1
Q126;1
Q127;3
Q128;4
Q129;3
Q130;3
Q131;3
Q132;3
Q133;1
Q134;1
Q135;1
Q136;1
Q137;1
Q138;1
Q139;1
Q140;14
Q141;2
Q142;33
Q143;17
Q144;4
Q145;14
Q146;7
Q147;4
Q148;33
Q149;1
Q150;7
Q151;0
Q152;47
Q153;3
Q154;0
Q155;4
Q156;3
Q157;6
Q159;3
Q160;1
Q161;3
Q162;3
Q163;2
Q164;0
Q165;0
Q166;0
Q167;1
Q168;1
Q169;8
Q170;2
Q171;0
Q172;0
Q173;2
Q174;3
Q175;0
Q176;5
Q177;2
Q178;34
Q179;0
Q180;10
Q181;5
Q182;3
Q183;32
Q184;6
Q185;4
Q186;3
Q187;0
Q188;6
Q189;9
Q190;4
Q191;2
Q192;8
Q193;6
Q194;0
Q195;44
